,MOFname,edge_group_selfie,node_selfie,topo,heat_of_adsorption_CO2_300_kJ_mol,log_CO2_N2_selectivity,tokenized_edge_selfies,edge_lens,node_plus_topo,tokenized_node_plus_topo,node_plus_topo_lens,mof_string,tokenized_mof_string,mof_string_lens
352,sra_N156_edge206516,[:0isocyanate][C][C][=C][Branch][C][Branch][C][C][=Branch][=C][C][=C][Ring1][O][Ring1][Branch][pop][C][O][FrH0][pop][FrH0][pop][:0isocyanate][pop],[O][=C][Branch1][C][Fr][O][Dy][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N],sra,-33.919045,3.963229296,"[14, 61, 61, 52, 60, 61, 60, 61, 61, 51, 52, 61, 52, 68, 66, 68, 60, 72, 61, 66, 64, 72, 64, 72, 14, 72]",26,[O][=C][Branch1][C][Fr][O][Dy][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][&&][sra],"[48, 7, 20, 22, 34, 48, 29, 20, 1, 48, 22, 20, 22, 34, 9, 20, 6, 48, 22, 20, 22, 34, 48, 54, 6, 48, 22, 20, 22, 34, 48, 54, 8, 4, 96]",35,[:0isocyanate][C][C][=C][Branch][C][Branch][C][C][=Branch][=C][C][=C][Ring1][O][Ring1][Branch][pop][C][O][FrH0][pop][FrH0][pop][:0isocyanate][pop][.][O][=C][Branch1][C][Fr][O][Dy][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][&&][sra],"[18, 75, 75, 58, 74, 75, 74, 75, 75, 57, 58, 75, 58, 110, 104, 110, 74, 148, 75, 104, 89, 148, 89, 148, 18, 148, 8, 104, 58, 72, 75, 90, 104, 83, 72, 1, 104, 75, 72, 75, 90, 60, 72, 56, 104, 75, 72, 75, 90, 104, 110, 56, 104, 75, 72, 75, 90, 104, 110, 59, 6, 154]",63
353,eta_N137_edge159809,[O][O][C][=C][Branch][C][=C][Branch][:1alkyne][Ring1][FrH0][pop][pop][Ring1][Ring2][pop][C][Branch][C][Branch][O][O][pop][Branch][O][O][pop][FrH0][pop][O][O],[Fr][C][=N][N][N][Branch1][Ring2][N][Ring1][Branch1][Co][N][N][=C][Branch1][C][Fr][N][N][Ring1][=Branch1][Co][Ring1][O][N][N][Ring1][#Branch2][N][C][Branch1][C][Fr][=N][Ring1][=Branch1],eta,-23.40119199,2.615501637,"[66, 66, 61, 52, 60, 61, 52, 60, 23, 68, 64, 72, 72, 68, 69, 72, 61, 60, 61, 60, 66, 66, 72, 60, 66, 66, 72, 64, 72, 66, 66]",31,[Fr][C][=N][N][N][Branch1][Ring2][N][Ring1][Branch1][Co][N][N][=C][Branch1][C][Fr][N][N][Ring1][=Branch1][Co][Ring1][O][N][N][Ring1][#Branch2][N][C][Branch1][C][Fr][=N][Ring1][=Branch1][&&][eta],"[34, 22, 8, 45, 45, 20, 55, 45, 54, 20, 26, 45, 45, 7, 20, 22, 34, 45, 45, 54, 5, 26, 54, 48, 45, 45, 54, 2, 45, 22, 20, 22, 34, 8, 54, 5, 4, 79]",38,[O][O][C][=C][Branch][C][=C][Branch][:1alkyne][Ring1][FrH0][pop][pop][Ring1][Ring2][pop][C][Branch][C][Branch][O][O][pop][Branch][O][O][pop][FrH0][pop][O][O][.][Fr][C][=N][N][N][Branch1][Ring2][N][Ring1][Branch1][Co][N][N][=C][Branch1][C][Fr][N][N][Ring1][=Branch1][Co][Ring1][O][N][N][Ring1][#Branch2][N][C][Branch1][C][Fr][=N][Ring1][=Branch1][&&][eta],"[104, 104, 75, 58, 74, 75, 58, 74, 27, 110, 89, 148, 148, 110, 111, 148, 75, 74, 75, 74, 104, 104, 148, 74, 104, 104, 148, 89, 148, 104, 104, 8, 90, 75, 59, 101, 101, 72, 111, 101, 110, 72, 80, 101, 101, 58, 72, 75, 90, 101, 101, 110, 55, 80, 110, 104, 101, 101, 110, 2, 101, 75, 72, 75, 90, 59, 110, 55, 6, 136]",71
354,cds_N153_edge41755,[:0nitrile][C][C][=C][Branch][C][Branch][FrH0][pop][Ring1][Ring1][pop][C][C][C][C][FrH0][pop],[Fr][C][O][Zn][O][C][Branch1][C][Fr][O][Zn][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][Ring1][P],cds,-22.06286352,2.771954003,"[17, 61, 61, 52, 60, 61, 60, 64, 72, 68, 68, 72, 61, 61, 61, 61, 64, 72]",18,[Fr][C][O][Zn][O][C][Branch1][C][Fr][O][Zn][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][Ring1][P][&&][cds],"[34, 22, 48, 65, 48, 22, 20, 22, 34, 48, 65, 54, 5, 20, 6, 48, 22, 20, 22, 34, 48, 54, 2, 20, 6, 48, 22, 20, 22, 34, 48, 54, 7, 48, 54, 49, 4, 72]",38,[:0nitrile][C][C][=C][Branch][C][Branch][FrH0][pop][Ring1][Ring1][pop][C][C][C][C][FrH0][pop][.][Fr][C][O][Zn][O][C][Branch1][C][Fr][O][Zn][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][Ring1][P][&&][cds],"[21, 75, 75, 58, 74, 75, 74, 89, 148, 110, 110, 148, 75, 75, 75, 75, 89, 148, 8, 90, 75, 104, 122, 104, 75, 72, 75, 90, 104, 122, 110, 55, 72, 56, 104, 75, 72, 75, 90, 104, 110, 2, 72, 56, 104, 75, 72, 75, 90, 104, 110, 58, 104, 110, 105, 6, 129]",58
355,cds_N424_edge191153,[FrH0][C][=Branch][=C][C][:=1methyl_amine][Ring1][=C][N][Branch][C][=C][Branch][S][C][pop][Ring1][#Branch][pop][FrH0][pop][pop][S][C],[S][Fe][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][S],cds,-8.715637765,0.841200281,"[64, 61, 51, 52, 61, 50, 68, 52, 65, 60, 61, 52, 60, 71, 61, 72, 68, 1, 72, 64, 72, 72, 71, 61]",24,[S][Fe][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][S][&&][cds],"[56, 33, 20, 45, 45, 22, 7, 22, 20, 22, 34, 7, 22, 54, 1, 20, 45, 45, 22, 7, 22, 20, 22, 34, 7, 22, 54, 1, 20, 45, 45, 22, 7, 22, 20, 22, 34, 7, 22, 54, 1, 20, 45, 45, 22, 7, 22, 20, 22, 34, 7, 22, 54, 1, 56, 4, 72]",57,[FrH0][C][=Branch][=C][C][:=1methyl_amine][Ring1][=C][N][Branch][C][=C][Branch][S][C][pop][Ring1][#Branch][pop][FrH0][pop][pop][S][C][.][S][Fe][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][S][&&][cds],"[89, 75, 57, 58, 75, 54, 110, 58, 101, 74, 75, 58, 74, 113, 75, 148, 110, 3, 148, 89, 148, 148, 113, 75, 8, 113, 88, 72, 101, 101, 75, 58, 75, 72, 75, 90, 58, 75, 110, 1, 72, 101, 101, 75, 58, 75, 72, 75, 90, 58, 75, 110, 1, 72, 101, 101, 75, 58, 75, 72, 75, 90, 58, 75, 110, 1, 72, 101, 101, 75, 58, 75, 72, 75, 90, 58, 75, 110, 1, 113, 6, 129]",83
356,sxb_N715_edge50323,[FrH0][C][C][Branch][C][N][Branch][C][Branch][:2pyridine][pop][Ring1][Branch][pop][FrH0][pop][=C][C][:=1methyl_amine][Ring1][=C][C][Ring1][=Branch][pop],[N][N][C][Branch1][C][Fr][N][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][C][Branch1][C][Fr][N][Branch2][Ring2][N][C][Branch1][C][Fr][N][Ring1][#Branch1][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][Ring2][Ring2][#Branch1][C][Ring2][Ring2][O][Fr][N],sxb,-23.88556933,2.574422213,"[64, 61, 61, 60, 61, 65, 60, 61, 60, 36, 72, 68, 60, 72, 64, 72, 52, 61, 50, 68, 52, 61, 68, 51, 72]",25,[N][N][C][Branch1][C][Fr][N][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][C][Branch1][C][Fr][N][Branch2][Ring2][N][C][Branch1][C][Fr][N][Ring1][#Branch1][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][Ring2][Ring2][#Branch1][C][Ring2][Ring2][O][Fr][N][&&][sxb],"[45, 45, 22, 20, 22, 34, 45, 14, 20, 45, 45, 22, 7, 20, 22, 34, 22, 7, 22, 54, 1, 20, 45, 45, 22, 7, 20, 22, 34, 22, 7, 22, 54, 1, 45, 22, 20, 22, 34, 45, 21, 55, 45, 22, 20, 22, 34, 45, 54, 1, 14, 20, 45, 45, 22, 7, 20, 22, 34, 22, 7, 22, 54, 1, 20, 45, 45, 22, 7, 20, 22, 34, 22, 7, 22, 54, 1, 45, 55, 55, 1, 22, 55, 55, 48, 34, 45, 4, 98]",89,[FrH0][C][C][Branch][C][N][Branch][C][Branch][:2pyridine][pop][Ring1][Branch][pop][FrH0][pop][=C][C][:=1methyl_amine][Ring1][=C][C][Ring1][=Branch][pop][.][N][N][C][Branch1][C][Fr][N][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][C][Branch1][C][Fr][N][Branch2][Ring2][N][C][Branch1][C][Fr][N][Ring1][#Branch1][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][Ring2][Ring2][#Branch1][C][Ring2][Ring2][O][Fr][N][&&][sxb],"[89, 75, 75, 74, 75, 101, 74, 75, 74, 40, 148, 110, 74, 148, 89, 148, 58, 75, 54, 110, 58, 75, 110, 57, 148, 8, 101, 101, 75, 72, 75, 90, 101, 65, 72, 101, 101, 75, 58, 72, 75, 90, 75, 58, 75, 110, 1, 72, 101, 101, 75, 58, 72, 75, 90, 75, 58, 75, 110, 1, 101, 75, 72, 75, 90, 101, 73, 111, 101, 75, 72, 75, 90, 101, 110, 1, 65, 72, 101, 101, 75, 58, 72, 75, 90, 75, 58, 75, 110, 1, 72, 101, 101, 75, 58, 72, 75, 90, 75, 58, 75, 110, 1, 101, 111, 111, 1, 75, 111, 111, 104, 90, 101, 6, 156]",116
357,pcu_N262_edge144012,[S][=C][C][=N][C][Branch][N][=C][Branch][FrH0][pop][Ring1][Branch][pop][Branch][C][=S][pop][:1alkyne][Ring1][FrH0][pop],[O][=C][Branch1][C][Fr][O][Cu][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1],pcu,-12.19143488,1.274406079,"[71, 52, 61, 53, 61, 60, 65, 52, 60, 64, 72, 68, 60, 72, 60, 61, 58, 72, 23, 68, 64, 72]",22,[O][=C][Branch1][C][Fr][O][Cu][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][pcu],"[48, 7, 20, 22, 34, 48, 28, 21, 20, 22, 48, 22, 20, 22, 34, 48, 28, 20, 1, 48, 22, 20, 22, 34, 9, 20, 6, 48, 22, 20, 22, 34, 48, 54, 7, 20, 45, 45, 22, 7, 22, 20, 22, 34, 22, 7, 54, 1, 45, 22, 22, 7, 20, 22, 34, 22, 7, 54, 1, 20, 45, 45, 22, 22, 7, 20, 22, 34, 22, 7, 54, 1, 45, 22, 7, 22, 20, 22, 34, 22, 7, 54, 1, 4, 90]",85,[S][=C][C][=N][C][Branch][N][=C][Branch][FrH0][pop][Ring1][Branch][pop][Branch][C][=S][pop][:1alkyne][Ring1][FrH0][pop][.][O][=C][Branch1][C][Fr][O][Cu][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][pcu],"[113, 58, 75, 59, 75, 74, 101, 58, 74, 89, 148, 110, 74, 148, 74, 75, 64, 148, 27, 110, 89, 148, 8, 104, 58, 72, 75, 90, 104, 82, 73, 72, 75, 104, 75, 72, 75, 90, 104, 82, 72, 1, 104, 75, 72, 75, 90, 60, 72, 56, 104, 75, 72, 75, 90, 104, 110, 58, 72, 101, 101, 75, 58, 75, 72, 75, 90, 75, 58, 110, 1, 101, 75, 75, 58, 72, 75, 90, 75, 58, 110, 1, 72, 101, 101, 75, 75, 58, 72, 75, 90, 75, 58, 110, 1, 101, 75, 58, 75, 72, 75, 90, 75, 58, 110, 1, 6, 147]",109
358,eta_N717_edge60554,[O][C][=C][C][=Branch][=C][C][Branch][C][Ring1][=Branch][pop][=C][C][Branch][N][N][C][Branch][FrH0][pop][Ring1][Branch][pop][FrH0][pop][O],[O][=C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O],eta,-22.77541416,2.784642647,"[66, 61, 52, 61, 51, 52, 61, 60, 61, 68, 51, 72, 52, 61, 60, 65, 65, 61, 60, 64, 72, 68, 60, 72, 64, 72, 66]",27,[O][=C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][eta],"[48, 7, 20, 22, 34, 48, 65, 20, 1, 48, 22, 20, 22, 34, 9, 48, 22, 20, 22, 34, 9, 4, 79]",23,[O][C][=C][C][=Branch][=C][C][Branch][C][Ring1][=Branch][pop][=C][C][Branch][N][N][C][Branch][FrH0][pop][Ring1][Branch][pop][FrH0][pop][O][.][O][=C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][eta],"[104, 75, 58, 75, 57, 58, 75, 74, 75, 110, 57, 148, 58, 75, 74, 101, 101, 75, 74, 89, 148, 110, 74, 148, 89, 148, 104, 8, 104, 58, 72, 75, 90, 104, 122, 72, 1, 104, 75, 72, 75, 90, 60, 104, 75, 72, 75, 90, 60, 6, 136]",52
359,qtz_N708_edge158101,[:0alkene][C][C][C][Branch][O][C][=C][C][=C][Branch][C][Branch][C][=Branch][=C][O][pop][Ring1][=Branch][pop][=C][O][pop][FrH0][pop][FrH0][pop],[Fr][C][=C][N][Branch1][Branch1][C][N][Ring1][Branch1][Co][Branch1][O][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1][Branch1][O][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1],qtz,-6.181603807,0.596123204,"[7, 61, 61, 61, 60, 66, 61, 52, 61, 52, 60, 61, 60, 61, 51, 52, 66, 72, 68, 51, 72, 52, 66, 72, 64, 72, 64, 72]",28,[Fr][C][=C][N][Branch1][Branch1][C][N][Ring1][Branch1][Co][Branch1][O][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1][Branch1][O][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1][&&][qtz],"[34, 22, 7, 45, 20, 20, 22, 45, 54, 20, 26, 20, 48, 45, 22, 7, 20, 22, 34, 45, 22, 54, 5, 20, 48, 45, 22, 7, 20, 22, 34, 45, 22, 54, 5, 45, 22, 7, 20, 22, 34, 45, 22, 54, 5, 4, 91]",47,[:0alkene][C][C][C][Branch][O][C][=C][C][=C][Branch][C][Branch][C][=Branch][=C][O][pop][Ring1][=Branch][pop][=C][O][pop][FrH0][pop][FrH0][pop][.][Fr][C][=C][N][Branch1][Branch1][C][N][Ring1][Branch1][Co][Branch1][O][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1][Branch1][O][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1][&&][qtz],"[11, 75, 75, 75, 74, 104, 75, 58, 75, 58, 74, 75, 74, 75, 57, 58, 104, 148, 110, 57, 148, 58, 104, 148, 89, 148, 89, 148, 8, 90, 75, 58, 101, 72, 72, 75, 101, 110, 72, 80, 72, 104, 101, 75, 58, 72, 75, 90, 101, 75, 110, 55, 72, 104, 101, 75, 58, 72, 75, 90, 101, 75, 110, 55, 101, 75, 58, 72, 75, 90, 101, 75, 110, 55, 6, 149]",77
360,lcy_N375_edge22038,[Br][C][Branch][C][Branch][C][=C][:=0methyl_amine][Ring1][FrH0][pop][pop][Br][pop][FrH0],[Fr][C][O][Cd][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][N][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][C][Branch1][C][Fr][O][Cd][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][N][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][Ring2][Ring2][=N],lcy,-12.4917551,1.274782207,"[59, 61, 60, 61, 60, 61, 52, 49, 68, 64, 72, 72, 59, 72, 64]",15,[Fr][C][O][Cd][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][N][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][C][Branch1][C][Fr][O][Cd][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][N][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][Ring2][Ring2][=N][&&][lcy],"[34, 22, 48, 23, 20, 45, 45, 22, 7, 22, 20, 22, 34, 7, 22, 54, 1, 20, 6, 48, 22, 20, 22, 34, 48, 54, 45, 20, 45, 45, 22, 22, 7, 20, 22, 34, 22, 7, 54, 1, 48, 22, 20, 22, 34, 48, 23, 20, 45, 45, 22, 7, 22, 20, 22, 34, 7, 22, 54, 1, 20, 6, 48, 22, 20, 22, 34, 48, 54, 45, 20, 45, 45, 22, 22, 7, 20, 22, 34, 22, 7, 54, 1, 48, 55, 55, 8, 4, 83]",89,[Br][C][Branch][C][Branch][C][=C][:=0methyl_amine][Ring1][FrH0][pop][pop][Br][pop][FrH0][.][Fr][C][O][Cd][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][N][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][C][Branch1][C][Fr][O][Cd][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][N][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][Ring2][Ring2][=N][&&][lcy],"[71, 75, 74, 75, 74, 75, 58, 53, 110, 89, 148, 148, 71, 148, 89, 8, 90, 75, 104, 76, 72, 101, 101, 75, 58, 75, 72, 75, 90, 58, 75, 110, 1, 72, 56, 104, 75, 72, 75, 90, 104, 110, 101, 72, 101, 101, 75, 75, 58, 72, 75, 90, 75, 58, 110, 1, 104, 75, 72, 75, 90, 104, 76, 72, 101, 101, 75, 58, 75, 72, 75, 90, 58, 75, 110, 1, 72, 56, 104, 75, 72, 75, 90, 104, 110, 101, 72, 101, 101, 75, 75, 58, 72, 75, 90, 75, 58, 110, 1, 104, 111, 111, 59, 6, 140]",106
361,pcu_N447_edge150274,[FrH0][N][C][Branch][:1alkyne][pop][Branch][:1alkyne][pop][S][=C][Branch][C][Branch][FrH0][pop][C][Branch][:1alkyne][pop][Ring1][=C][pop][:1alkyne],[Fr][C][=C][N][C][=Branch2][=Branch1][#Branch1][=C][N][Branch1][#Branch2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Co][Ring1][#Branch2][Branch2][Ring1][=Branch2][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][=C][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#C][Ring1][#Branch1][N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Fr][C][N][Ring2][Ring1][Branch2][Ring1][#Branch1][=C][C][=C][Branch1][C][Fr][C][Ring1][=C][C][=C][Ring2][Ring2][#Branch2],pcu,-20.22895925,2.177575548,"[64, 65, 61, 60, 23, 72, 60, 23, 72, 71, 52, 60, 61, 60, 64, 72, 61, 60, 23, 72, 68, 52, 72, 23]",24,[Fr][C][=C][N][C][=Branch2][=Branch1][#Branch1][=C][N][Branch1][#Branch2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Co][Ring1][#Branch2][Branch2][Ring1][=Branch2][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][=C][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#C][Ring1][#Branch1][N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Fr][C][N][Ring2][Ring1][Branch2][Ring1][#Branch1][=C][C][=C][Branch1][C][Fr][C][Ring1][=C][C][=C][Ring2][Ring2][#Branch2][&&][pcu],"[34, 22, 7, 45, 22, 6, 5, 1, 7, 45, 20, 2, 22, 7, 20, 22, 34, 22, 7, 54, 1, 26, 54, 2, 21, 54, 6, 45, 22, 7, 20, 22, 34, 22, 7, 22, 54, 1, 7, 22, 7, 22, 20, 22, 34, 7, 45, 54, 3, 54, 1, 45, 22, 20, 3, 22, 7, 22, 7, 20, 22, 34, 22, 45, 55, 54, 21, 54, 1, 7, 22, 7, 20, 22, 34, 22, 54, 7, 22, 7, 55, 55, 2, 4, 90]",85,[FrH0][N][C][Branch][:1alkyne][pop][Branch][:1alkyne][pop][S][=C][Branch][C][Branch][FrH0][pop][C][Branch][:1alkyne][pop][Ring1][=C][pop][:1alkyne][.][Fr][C][=C][N][C][=Branch2][=Branch1][#Branch1][=C][N][Branch1][#Branch2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Co][Ring1][#Branch2][Branch2][Ring1][=Branch2][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][=C][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#C][Ring1][#Branch1][N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Fr][C][N][Ring2][Ring1][Branch2][Ring1][#Branch1][=C][C][=C][Branch1][C][Fr][C][Ring1][=C][C][=C][Ring2][Ring2][#Branch2][&&][pcu],"[89, 101, 75, 74, 27, 148, 74, 27, 148, 113, 58, 74, 75, 74, 89, 148, 75, 74, 27, 148, 110, 58, 148, 27, 8, 90, 75, 58, 101, 75, 56, 55, 1, 58, 101, 72, 2, 75, 58, 72, 75, 90, 75, 58, 110, 1, 80, 110, 2, 73, 110, 56, 101, 75, 58, 72, 75, 90, 75, 58, 75, 110, 1, 58, 75, 58, 75, 72, 75, 90, 58, 101, 110, 4, 110, 1, 101, 75, 72, 4, 75, 58, 75, 58, 72, 75, 90, 75, 101, 111, 110, 73, 110, 1, 58, 75, 58, 72, 75, 90, 75, 110, 58, 75, 58, 111, 111, 2, 6, 147]",111
