,seed_mof_name,seed_mof_string,seed_edge_selfies,seed_edge_smiles,seed_targets,dreamed_mof_string,dreamed_edge_selfies,dreamed_edge_smiles,dreamed_targets,dreamed_mof_name
134,cds_N336_edge212187,[FrH0][C][Branch][C][Branch][C][C][pop][=C][C][=C][Branch][C][Branch][FrH0][pop][C][=C][Ring1][#Branch][pop][S][C][pop][=Ring1][->][Ring2][.][Fr][C][O][Zn][Branch1][N][N][C][=C][N][Branch1][C][Fr][C][Ring1][=Branch1][C][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][P][Branch1][Branch1][O][Ring2][Ring1][Ring2][Branch1][N][N][C][=C][N][Branch1][C][Fr][C][Ring1][=Branch1][C][O][C][Branch1][C][Fr][O][Ring2][Ring1][=N][&&][cds],[FrH0][C][Branch][C][Branch][C][C][pop][=C][C][=C][Branch][C][Branch][FrH0][pop][C][=C][Ring1][#Branch][pop][S][C][pop][=Ring1][->][Ring2],CSC1=CC(=C2CC=C2[Fr])C=CC1[Fr],"[-10.684902, 1.0650573]",[:0propyl][C][:3benzenediol][Ring2][:5benzenealcohol][=Branch][:3pyrimidine][:0methyl][FrH0][pop][pop][FrH0][:0methyl][pop][pop][Branch][S][Branch][FrH0][=S][:0propyl][:1methyl_amine][:2pyrimidine][:0benzenediol][:0pyrimidine][:0propyl][:0benzenediol][:3pyrimidine][Ring2][:3pyrimidine][pop][pop][pop][pop][pop][:2pyridine][:2pyridine][:2imidazole][:2pyrimidine][.][Fr][C][O][Zn][Branch1][N][N][C][=C][N][Branch1][C][Fr][C][Ring1][=Branch1][C][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][P][Branch1][Branch1][O][Ring2][Ring1][Ring2][Branch1][N][N][C][=C][N][Branch1][C][Fr][C][Ring1][=Branch1][C][O][C][Branch1][C][Fr][O][Ring2][Ring1][=N][&&][cds],[:0propyl][C][:3benzenediol][Ring2][:5benzenealcohol][=Branch][:3pyrimidine][:0methyl][FrH0][pop][pop][FrH0][:0methyl][pop][pop][Branch][S][Branch][FrH0][=S][:0propyl][:1methyl_amine][:2pyrimidine][:0benzenediol][:0pyrimidine][:0propyl][:0benzenediol][:3pyrimidine][Ring2][:3pyrimidine][pop][pop][pop][pop][pop][:2pyridine][:2pyridine][:2imidazole][:2pyrimidine],CCCOc1cccc(O)c1-c1c(OOc2cccc(-c3ccnc([Fr])n3)c2CC)cc(O)c(S([Fr])=[SH]CCC)c1CCC,"[-28.7466154579, 3.063239759848481]",cds_N336_CSC1=CC(=C2CC=C2[Fr])C=CC1[Fr]
135,gis_N393_edge10036,[O][O][C][C][=Branch][=C][C][=C][Branch][C][Branch][O][O][pop][Branch][FrH0][pop][Ring1][Ring1][pop][Ring1][Branch][pop][FrH0][.][Fr][C][Ge][S][Ge][Branch2][Ring1][#Branch2][S][Ge][Branch1][Ring1][C][Fr][Branch1][#C][S][Ge][Branch1][Ring1][C][Fr][Branch1][Ring2][S][Ring1][#Branch2][S][Ring1][=N][S][Ring1][=C][C][Fr][&&][gis],[O][O][C][C][=Branch][=C][C][=C][Branch][C][Branch][O][O][pop][Branch][FrH0][pop][Ring1][Ring1][pop][Ring1][Branch][pop][FrH0],OOC1C([Fr])=CC2=C1C2([Fr])OO,"[-9.232738, 0.9628476]",[S][O][C][C][Branch][FrH0][pop][:3pyrimidine][Ring2][:0benzenediol][Ring2][:2imidazole][pop][Ring1][:1imidazole][pop][Ring1][FrH0][pop][pop][:3pyrimidine][:0benzenediol][.][Fr][C][Ge][S][Ge][Branch2][Ring1][#Branch2][S][Ge][Branch1][Ring1][C][Fr][Branch1][#C][S][Ge][Branch1][Ring1][C][Fr][Branch1][Ring2][S][Ring1][#Branch2][S][Ring1][=N][S][Ring1][=C][C][Fr][&&][gis],[S][O][C][C][Branch][FrH0][pop][:3pyrimidine][Ring2][:0benzenediol][Ring2][:2imidazole][pop][Ring1][:1imidazole][pop][Ring1][FrH0][pop][pop][:3pyrimidine][:0benzenediol],Oc1cccc(O)c1-c1c(-c2c(O)c([Fr])c(-n3ccnc3)c(-c3cnc[nH]3)c2O)ncnc1C([Fr])COS,"[-21.5173403724, 1.994380810522143]",gis_N393_OOC1C([Fr])=CC2=C1C2([Fr])OO
136,gis_N50_edge211607,[O][O][C][=C][Branch][C][=C][C][=C][Branch][S][C][Branch][C][=Branch][=C][Ring1][=N][Ring1][#Branch][pop][O][O][pop][O][O][pop][FrH0][pop][FrH0][.][Fr][C][=C][C][=C][Branch2][Ring2][O][O][Al][Branch1][=N][O][C][C][=C][C][Branch1][C][Fr][=C][C][=Ring1][#Branch1][Branch1][=N][O][C][=C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][C][=C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][S][&&][gis],[O][O][C][=C][Branch][C][=C][C][=C][Branch][S][C][Branch][C][=Branch][=C][Ring1][=N][Ring1][#Branch][pop][O][O][pop][O][O][pop][FrH0][pop][FrH0],OOC1=C([Fr])C=C2C=C([Fr])SC(OO)C(OO)=C21,"[-9.055633, 0.9147094]",[:0sulfonic_acid][Ring1][FrH0][pop][Cl][:0benzenediol][Cl][Cl][pop][Ring2][:1imidazole][=S][:0benzenediol][Ring1][:3pyrimidine][pop][pop][Ring1][FrH0][pop][pop][Ring1][:0benzenealcohol][Ring1][S][:3benzenediol][=S][=S][:3pyrimidine][:4benzenediol][pop][pop][pop][pop][Ring2][Cl][pop][pop][Ring2][.][Fr][C][=C][C][=C][Branch2][Ring2][O][O][Al][Branch1][=N][O][C][C][=C][C][Branch1][C][Fr][=C][C][=Ring1][#Branch1][Branch1][=N][O][C][=C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][C][=C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][S][&&][gis],[:0sulfonic_acid][Ring1][FrH0][pop][Cl][:0benzenediol][Cl][Cl][pop][Ring2][:1imidazole][=S][:0benzenediol][Ring1][:3pyrimidine][pop][pop][Ring1][FrH0][pop][pop][Ring1][:0benzenealcohol][Ring1][S][:3benzenediol][=S][=S][:3pyrimidine][:4benzenediol][pop][pop][pop][pop][Ring2][Cl][pop][pop][Ring2],O=S([Fr])Oc1c(O)c(-c2c(O)cccc2Sc2cc(O)cc(O)c2Sc2ccncn2)c(-n2cnc([Fr])c2-c2c(O)cccc2Oc2ccncn2)c(Cl)c1OCl,"[-15.0520541457, 1.1226038840723407]",gis_N50_OOC1=C([Fr])C=C2C=C([Fr])SC(OO)C(OO)=C21
137,rho_N450_edge54999,[:0alkene][C][C][C][Branch][N][=C][C][Branch][:0alkene][pop][Branch][FrH0][pop][Ring1][Branch][pop][FrH0][pop][.][Fr][C][=N][Ag][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][N][=C][Fr][&&][rho],[:0alkene][C][C][C][Branch][N][=C][C][Branch][:0alkene][pop][Branch][FrH0][pop][Ring1][Branch][pop][FrH0][pop],O=CC1C([Fr])N=CC1([Fr])C=O,"[-5.997633, 0.44496727]",[:1imidazole][C][C][C][=S][FrH0][pop][:1imidazole][=S][:3pyrimidine][Branch][FrH0][pop][=Ring2][pop][FrH0][:0benzenediol][=S][pop][:1imidazole][:0propyl][:1imidazole][:0propyl][pop][:0benzenealcohol][:0benzenealcohol][:0benzenealcohol][:0benzenealcohol][:0benzenealcohol][:2pyridine][:2pyridine][:3pyrimidine][N][N][Br][.][Fr][C][=N][Ag][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][N][=C][Fr][&&][rho],[:1imidazole][C][C][C][=S][FrH0][pop][:1imidazole][=S][:3pyrimidine][Branch][FrH0][pop][=Ring2][pop][FrH0][:0benzenediol][=S][pop][:1imidazole][:0propyl][:1imidazole][:0propyl][pop][:0benzenealcohol][:0benzenealcohol][:0benzenealcohol][:0benzenealcohol][:0benzenealcohol][:2pyridine][:2pyridine][:3pyrimidine][N][N][Br],CCCc1cc(-c2c(O)cccc2-c2c(O)cccc2-c2ccncc2-c2ncncc2NBr)c(O)c(-c2ncnc(Sn3ccnc3CC=[SH][Fr])c2[Fr])c1O,"[-9.6845394359, 0.9580604773121848]",rho_N450_O=CC1C([Fr])N=CC1([Fr])C=O
138,ths_N611_edge213766,[F][C][=C][C][Branch][S][C][Branch][FrH0][pop][Ring1][Branch][pop][=C][C][=Branch][=N][C][=Branch][=C][Branch][C][Branch][F][pop][Ring1][=Branch][pop][F][pop][FrH0][pop][F][.][BrH0][Cu][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][ths],[F][C][=C][C][Branch][S][C][Branch][FrH0][pop][Ring1][Branch][pop][=C][C][=Branch][=N][C][=Branch][=C][Branch][C][Branch][F][pop][Ring1][=Branch][pop][F][pop][FrH0][pop][F],FC1=CC(=C2C(F)=NC([Fr])=C(F)C2F)SC1[Fr],"[-2.4299872, 0.06063073]",[C][:=0methyl_amine][Ring1][S][N][Branch][FrH0][pop][:0benzenediol][Ring1][Cl][pop][=Ring2][:0benzenediol][=Ring2][:0benzenediol][FrH0][:1pyrimidine][:0benzenediol][FrH0][pop][Ring1][:1imidazole][pop][pop][Ring1][:0benzenediol][Cl][pop][Ring1][:0propyl][pop][Ring1][:0pyrimidine][:0benzenealcohol][:0carboxylic_acid][:0benzenealcohol][:2benzenediol][:3imidazole][.][BrH0][Cu][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][ths],[C][:=0methyl_amine][Ring1][S][N][Branch][FrH0][pop][:0benzenediol][Ring1][Cl][pop][=Ring2][:0benzenediol][=Ring2][:0benzenediol][FrH0][:1pyrimidine][:0benzenediol][FrH0][pop][Ring1][:1imidazole][pop][pop][Ring1][:0benzenediol][Cl][pop][Ring1][:0propyl][pop][Ring1][:0pyrimidine][:0benzenealcohol][:0carboxylic_acid][:0benzenealcohol][:2benzenediol][:3imidazole],C=NCSN([Fr])c1c(O)ccc(-c2c(O)cccc2Oc2c(O)ccc(-c3c(O)cc(-c4nccc(OC(=O)c5ccc(O)cc5O)n4)c(CCC)c3O)c2Oc2ncnc(-n3ccnc3)c2[Fr])c1OCl,"[-6.2481633719, 0.4998833775960977]",ths_N611_FC1=CC(=C2C(F)=NC([Fr])=C(F)C2F)SC1[Fr]
139,dmp_N184_edge12935,[O][S][Branch][C][C][=Branch][=C][=C][=C][C][Branch][S][Branch][O][pop][Branch][O][pop][O][pop][Branch][FrH0][pop][Ring1][=Branch][pop][FrH0][pop][Branch][O][pop][O][.][Fr][C][O][Cd][Branch1][Ring2][O][Ring1][Ring2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][O][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1][&&][dmp],[O][S][Branch][C][C][=Branch][=C][=C][=C][C][Branch][S][Branch][O][pop][Branch][O][pop][O][pop][Branch][FrH0][pop][Ring1][=Branch][pop][FrH0][pop][Branch][O][pop][O],OS(O)(O)C1C([Fr])=C=C=CC1([Fr])S(O)(O)O,"[-13.884228, 1.2487409]",[:2benzenealcohol][S][=O][=N][:0alkene][=C][=C][=C][=C][#C][Br][S][:4pyridine][:3benzenediol][:=0methyl_amine][:0methyl][S][=P][=P][=P][=P][FrH0][:#1methyl_amine][:0benzenediol][:3pyrimidine][:3pyrimidine][FrH0][:0benzenediol][:0benzenediol][:0benzenediol][:1pyrimidine][:0propyl][:1pyrimidine][:1pyrimidine][Branch][Branch][:5benzenediol][:5benzenediol][=Ring2][.][Fr][C][O][Cd][Branch1][Ring2][O][Ring1][Ring2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][O][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1][&&][dmp],[:2benzenealcohol][S][=O][=N][:0alkene][=C][=C][=C][=C][#C][Br][S][:4pyridine][:3benzenediol][:=0methyl_amine][:0methyl][S][=P][=P][=P][=P][FrH0][:#1methyl_amine][:0benzenediol][:3pyrimidine][:3pyrimidine][FrH0][:0benzenediol][:0benzenediol][:0benzenediol][:1pyrimidine][:0propyl][:1pyrimidine][:1pyrimidine][Branch][Branch][:5benzenediol][:5benzenediol][=Ring2],O=CNOOc1ccc(C=C=CBr)c(-c2ccc(-c3cc(-c4c(O)cccc4Oc4ncncc4-c4ncncc4Oc4cccc(O)c4)nc([Fr])n3)c(NC[SH]=[PH]=[PH]=[PH]=P[Fr])n2)c1,"[-30.7736670372, 2.7430779912252605]",dmp_N184_OS(O)(O)C1C([Fr])=C=C=CC1([Fr])S(O)(O)O
140,nbo_N549_edge79680,[:0alkene][C][C][Branch][C][Branch][S][C][C][FrH0][pop][:0alkene][pop][C][=C][C][FrH0][pop][.][S][=C][=N][Co][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][Ring2][N][=C][=S][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][nbo],[:0alkene][C][C][Branch][C][Branch][S][C][C][FrH0][pop][:0alkene][pop][C][=C][C][FrH0][pop],O=CC(C=CC[Fr])C(C=O)SCC[Fr],"[-6.4879274, 0.5201689]",[S][#C][#C][:1imidazole][pop][:0methyl][:0propyl][:0benzenediol][:2imidazole][FrH0][Branch][FrH0][Branch][Branch][Branch][Branch][=S][=S][=S][:2imidazole][:2imidazole][:2imidazole][:3benzenealcohol][:3benzenealcohol][:1benzenealcohol][:=1methyl_amine][:1pyridine][:1carboxylic_acid][:1carboxylic_acid][:0benzenediol][:2pyrimidine][:0benzenediol][:0benzenediol][:0benzenediol][#C][:0benzenediol][:0benzenediol][.][S][=C][=N][Co][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][Ring2][N][=C][=S][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][nbo],[S][#C][#C][:1imidazole][pop][:0methyl][:0propyl][:0benzenediol][:2imidazole][FrH0][Branch][FrH0][Branch][Branch][Branch][Branch][=S][=S][=S][:2imidazole][:2imidazole][:2imidazole][:3benzenealcohol][:3benzenealcohol][:1benzenealcohol][:=1methyl_amine][:1pyridine][:1carboxylic_acid][:1carboxylic_acid][:0benzenediol][:2pyrimidine][:0benzenediol][:0benzenediol][:0benzenediol][#C][:0benzenediol][:0benzenediol],CCCc1c([Fr])nc([Fr])n1CC#[SH],"[-8.6080635499, 0.7641835934798371]",nbo_N549_O=CC(C=CC[Fr])C(C=O)SCC[Fr]
141,srs_N321_edge160747,[F][O][C][Branch][O][O][O][O][FrH0][pop][O][C][=C][C][C][Branch][C][Branch][FrH0][pop][F][pop][F][.][Fr][C][=C][Branch2][Branch1][=C][C][Branch1][C][C][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][#Branch1][C][C][B][Branch2][Ring1][=Branch1][C][=C][Branch1][C][C][C][=Branch1][=N][=C][Branch1][C][Fr][C][Branch1][C][C][=C][Ring1][=Branch2][C][C][C][=C][Branch1][P][C][=Branch1][=N][=C][Branch1][C][Fr][C][=Branch1][Branch1][=C][Ring1][#Branch1][C][C][C][C][C][&&][srs],[F][O][C][Branch][O][O][O][O][FrH0][pop][O][C][=C][C][C][Branch][C][Branch][FrH0][pop][F][pop][F],FOC(OC=CCC(F)C(F)[Fr])OOOO[Fr],"[-5.7267437, 0.4826928]",[Cl][C][:1imidazole][Branch][:0methyl_amine][:1imidazole][FrH0][pop][pop][Ring2][S][FrH0][pop][pop][=S][=S][=S][=S][:0benzenealcohol][:0benzenealcohol][Ring2][pop][:3pyrimidine][=S][:0benzene][:0benzenealcohol][.][Fr][C][=C][Branch2][Branch1][=C][C][Branch1][C][C][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][#Branch1][C][C][B][Branch2][Ring1][=Branch1][C][=C][Branch1][C][C][C][=Branch1][=N][=C][Branch1][C][Fr][C][Branch1][C][C][=C][Ring1][=Branch2][C][C][C][=C][Branch1][P][C][=Branch1][=N][=C][Branch1][C][Fr][C][=Branch1][Branch1][=C][Ring1][#Branch1][C][C][C][C][C][&&][srs],[Cl][C][:1imidazole][Branch][:0methyl_amine][:1imidazole][FrH0][pop][pop][Ring2][S][FrH0][pop][pop][=S][=S][=S][=S][:0benzenealcohol][:0benzenealcohol][Ring2][pop][:3pyrimidine][=S][:0benzene][:0benzenealcohol],Oc1ccc(Sc2ccccc2)cc1[SH]=S=[SH]c1nc(NC[Fr])n(CCl)c1S[Fr],"[-18.5458745012, 1.2271705642994761]",srs_N321_FOC(OC=CCC(F)C(F)[Fr])OOOO[Fr]
142,cds_N480_edge8589,[FrH0][:1alkyne][Ring1][C][=C][Branch][C][Branch][C][Branch][S][C][pop][C][C][Branch][S][C][pop][Branch][S][C][pop][FrH0][pop][=C][Ring1][P][pop][S][C][pop][.][O][=C][Branch1][C][Fr][O][Co][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][cds],[FrH0][:1alkyne][Ring1][C][=C][Branch][C][Branch][C][Branch][S][C][pop][C][C][Branch][S][C][pop][Branch][S][C][pop][FrH0][pop][=C][Ring1][P][pop][S][C][pop],CSC1=C(C#C[Fr])C=C1C(CC([Fr])(SC)SC)SC,"[-10.925697, 1.1846946]",[FrH0][S][N][:0imidazole][:2imidazole][:3pyrimidine][:0benzenediol][:0benzenediol][:0benzenediol][pop][:0benzenediol][=P][FrH0][pop][:=1methyl_amine][pop][:0pyridine][:0propyl][:0benzenediol][:1pyrimidine][:1pyrimidine][:1pyrimidine][:1pyrimidine][:5benzenediol][:1benzenediol][.][O][=C][Branch1][C][Fr][O][Co][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][cds],[FrH0][S][N][:0imidazole][:2imidazole][:3pyrimidine][:0benzenediol][:0benzenediol][:0benzenediol][pop][:0benzenediol][=P][FrH0][pop][:=1methyl_amine][pop][:0pyridine][:0propyl][:0benzenediol][:1pyrimidine][:1pyrimidine][:1pyrimidine][:1pyrimidine][:5benzenediol][:1benzenediol],CCCc1cc(P[Fr])c(O)c(-c2nccc(-n3ccnc3NS[Fr])n2)c1Oc1ncncc1-c1ncncc1Oc1cccc(O)c1,"[-29.8736683104, 3.242979440388811]",cds_N480_CSC1=C(C#C[Fr])C=C1C(CC([Fr])(SC)SC)SC
143,nbo-a_N492_edge127513,[FrH0][C][Branch][C][=C][Branch][C][C][Branch][C][Branch][O][FrH0][pop][O][C][pop][O][C][pop][O][C][pop][=Ring1][->][Ring2][.][O][=C][Branch1][C][Fr][O][Be][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][nbo-a],[FrH0][C][Branch][C][=C][Branch][C][C][Branch][C][Branch][O][FrH0][pop][O][C][pop][O][C][pop][O][C][pop][=Ring1][->][Ring2],COC1=CC([Fr])=C1C(OC)C(OC)O[Fr],"[-7.2793365, 0.61623865]",[:1amide][:1amide][:0benzenediol][:=1methyl_amine][FrH0][pop][:5benzenediol][:0benzenediol][Branch][C][Branch][FrH0][:0propyl][:1methyl_amine][:0benzenediol][:1imidazole][Ring2][:0benzenediol][:0benzenediol][:1pyrimidine][pop][:2pyridine][:2pyridine][pop][pop][pop][:0propyl][pop][pop][:0benzenediol][:2pyrimidine][:2imidazole][.][O][=C][Branch1][C][Fr][O][Be][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][nbo-a],[:1amide][:1amide][:0benzenediol][:=1methyl_amine][FrH0][pop][:5benzenediol][:0benzenediol][Branch][C][Branch][FrH0][:0propyl][:1methyl_amine][:0benzenediol][:1imidazole][Ring2][:0benzenediol][:0benzenediol][:1pyrimidine][pop][:2pyridine][:2pyridine][pop][pop][pop][:0propyl][pop][pop][:0benzenediol][:2pyrimidine][:2imidazole],CCCC([Fr])c1cc(O)c(-c2c(-c3cncnc3)cc(O)c(NC=O)c2O[Fr])c(O)c1-n1cnc(-c2c(O)ccc(-c3ccncc3)c2Oc2ccncn2)c1,"[-40.043441188, 11.349394216215844]",nbo-a_N492_COC1=CC([Fr])=C1C(OC)C(OC)O[Fr]
144,sra_N572_edge215858,[P][C][=C][Branch][C][=C][Branch][C][=C][FrH0][pop][Ring1][Ring2][pop][C][=C][Branch][FrH0][pop][P][.][O][=C][Branch1][C][Fr][O][Sm][Branch1][C][O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][=O][&&][sra],[P][C][=C][Branch][C][=C][Branch][C][=C][FrH0][pop][Ring1][Ring2][pop][C][=C][Branch][FrH0][pop][P],PC([Fr])=CC1=C(P)C(C=C[Fr])=C1,"[-4.278764, 0.15923558]",[:0sulfonic_acid][:0propyl][:3pyridine][S][:5benzenediol][:0methyl][S][:0nitrile][:0pyrimidine][:0methyl][:0propyl][pop][FrH0][FrH0][:4benzenealcohol][:0benzenediol][=P][:0benzenediol][:2imidazole][:0propyl][:2imidazole][:1methyl_amine][:1methyl_amine][:4benzenediol][=S][FrH0][:2pyridine][:0benzenediol][:4benzenediol][:3pyrimidine][:2benzenealcohol][:2benzenealcohol][:2benzenealcohol][:2benzenealcohol][:1pyrimidine][:#1methyl_amine][:1pyrimidine][:3pyrimidine][N][.][O][=C][Branch1][C][Fr][O][Sm][Branch1][C][O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][=O][&&][sra],[:0sulfonic_acid][:0propyl][:3pyridine][S][:5benzenediol][:0methyl][S][:0nitrile][:0pyrimidine][:0methyl][:0propyl][pop][FrH0][FrH0][:4benzenealcohol][:0benzenediol][=P][:0benzenediol][:2imidazole][:0propyl][:2imidazole][:1methyl_amine][:1methyl_amine][:4benzenediol][=S][FrH0][:2pyridine][:0benzenediol][:4benzenediol][:3pyrimidine][:2benzenealcohol][:2benzenealcohol][:2benzenealcohol][:2benzenealcohol][:1pyrimidine][:#1methyl_amine][:1pyrimidine][:3pyrimidine][N],CCCOc1c(CN=[SH][Fr])c(-c2ccc(O)cc2Oc2ccc(O)cc2-c2ccc(O)cc2-c2ncncc2-c2ncncc2N)cc(O)c1Oc1cccc(O)c1-c1cc(Oc2ncccc2O[SH]=O)c(SC#N)c(OCCC)c1[Fr],"[-14.5982000047, 1.3935109392971123]",sra_N572_PC([Fr])=CC1=C(P)C(C=C[Fr])=C1
145,lcy_N489_edge19910,[F][C][Branch][C][Branch][C][Branch][C][Branch][N][Branch][C][FrH0][pop][F][pop][Branch][F][pop][F][pop][F][pop][F][pop][FrH0][.][Fr][C][C][=C][C][N][Branch1][Ring2][C][=Ring1][=Branch1][Cu][Branch1][=C][N][C][=Ring1][=Branch1][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][Branch2][Ring1][O][N][C][Branch1][#Branch2][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][=C][N][Ring1][P][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][Branch1][#C][C][N][Ring2][Ring1][#Branch2][C][C][Branch1][C][Fr][=C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][&&][lcy],[F][C][Branch][C][Branch][C][Branch][C][Branch][N][Branch][C][FrH0][pop][F][pop][Branch][F][pop][F][pop][F][pop][F][pop][FrH0],FC([Fr])C(F)C(F)C(F)(F)N(F)C[Fr],"[-11.048955, 0.9234511]",[P][:1alkyne][:5benzenealcohol][:1carboxylic_acid][:5benzenediol][:0benzenediol][:1methyl_amine][:1benzenealcohol][pop][=Branch][FrH0][pop][:3pyrimidine][:1pyrimidine][Ring2][:0benzenediol][:0benzenediol][:3pyrimidine][:0benzenediol][:0benzenediol][:3pyrimidine][:1pyrimidine][:0propyl][:1methyl_amine][:2benzenediol][:2pyridine][:2pyridine][FrH0][:2pyridine][:1carboxylic_acid][:1amide][:2pyridine][:1amide][:4benzenealcohol][:2pyridine][:0phosphoric_acid][Ring2][:3imidazole][:2pyridine][.][Fr][C][C][=C][C][N][Branch1][Ring2][C][=Ring1][=Branch1][Cu][Branch1][=C][N][C][=Ring1][=Branch1][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][Branch2][Ring1][O][N][C][Branch1][#Branch2][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][=C][N][Ring1][P][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][Branch1][#C][C][N][Ring2][Ring1][#Branch2][C][C][Branch1][C][Fr][=C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][&&][lcy],[P][:1alkyne][:5benzenealcohol][:1carboxylic_acid][:5benzenediol][:0benzenediol][:1methyl_amine][:1benzenealcohol][pop][=Branch][FrH0][pop][:3pyrimidine][:1pyrimidine][Ring2][:0benzenediol][:0benzenediol][:3pyrimidine][:0benzenediol][:0benzenediol][:3pyrimidine][:1pyrimidine][:0propyl][:1methyl_amine][:2benzenediol][:2pyridine][:2pyridine][FrH0][:2pyridine][:1carboxylic_acid][:1amide][:2pyridine][:1amide][:4benzenealcohol][:2pyridine][:0phosphoric_acid][Ring2][:3imidazole][:2pyridine],O=C(C#CP)Oc1c(O[Fr])ccc(-c2cc(-c3c(O)cccc3Oc3ccnc(-c4c(O)cccc4Oc4ncncc4CNc4ccnc(C(=O)Oc5ccncc5-c5ccccc5OOP(=O)(O)Oc5c[nH]cn5)c4[Fr])n3)ncn2)c1Oc1cccc(O)c1,"[-78.1811215019, 11.642948948926662]",lcy_N489_FC([Fr])C(F)C(F)C(F)(F)N(F)C[Fr]
